,noun,tag,t_count
1586,빙1신,CV_POSITION,4287
1594,소년원,CV_POSITION,4287
1593,부처,CV_POSITION,4287
1592,관객,CV_POSITION,4287
1591,신학생,CV_POSITION,4287
1590,스타,CV_POSITION,4287
1589,신인,CV_POSITION,4287
1588,LGBT,CV_POSITION,4287
1587,각하,CV_POSITION,4287
1563,시각장애인,CV_POSITION,4287
1561,남자아이돌,CV_POSITION,4287
1518,블루칼라,CV_POSITION,4287
1560,신봉자,CV_POSITION,4287
1537,전적,CV_POSITION,4287
1536,흰둥이,CV_POSITION,4287
1535,글쓴이,CV_POSITION,4287
1534,문신멸치,CV_POSITION,4287
1533,문신돼지육수충,CV_POSITION,4287
1532,문신충,CV_POSITION,4287
1531,문슬람,CV_POSITION,4287
1530,무지개조폭,CV_POSITION,4287
1529,상폐녀,CV_POSITION,4287
1528,여자 의원,CV_POSITION,4287
1527,소상공인,CV_POSITION,4287
1526,운전사,CV_POSITION,4287
1525,여성 범죄자,CV_POSITION,4287
1524,몰카범죄자,CV_POSITION,4287
1523,명예짱깨,CV_POSITION,4287
1522,메갈련,CV_POSITION,4287
1521,메갈녀,CV_POSITION,4287
1520,기독인,CV_POSITION,4287
1519,세입자,CV_POSITION,4287
1538,엘리트,CV_POSITION,4287
1539,민원인,CV_POSITION,4287
1540,장교,CV_POSITION,4287
1551,불가촉 천민,CV_POSITION,4287
1559,살인범,CV_POSITION,4287
1558,빵즈,CV_POSITION,4287
1557,이상자,CV_POSITION,4287
1556,비혼녀,CV_POSITION,4287
1555,비만여성대표,CV_POSITION,4287
1554,회장,CV_POSITION,4287
1553,좌빠,CV_POSITION,4287
1552,공산당원,CV_POSITION,4287
1550,과부,CV_POSITION,4287
1541,국뽕주의자,CV_POSITION,4287
1549,보좌진,CV_POSITION,4287
1548,사기범,CV_POSITION,4287
1547,군미필자,CV_POSITION,4287
1546,보경,CV_POSITION,4287
1545,버러지장애인피싸개,CV_POSITION,4287
1544,천사,CV_POSITION,4287
1543,광고모델,CV_POSITION,4287
1542,반장애인,CV_POSITION,4287
1881,K-페미전사,CV_POSITION,4287
1785,빻남,CV_POSITION,4287
2100,한눈,AM_PART,3287
2070,몸팔,AM_PART,3287
2063,똥꼬,AM_PART,3287
2064,엄지 손가락,AM_PART,3287
2065,개털,AM_PART,3287
2066,손등,AM_PART,3287
2067,맨손톱,AM_PART,3287
2068,머리통,AM_PART,3287
2069,몸뚱아리,AM_PART,3287
2071,안면,AM_PART,3287
2042,노가다,AM_PART,3287
2072,무다리,AM_PART,3287
2073,구닥다리,AM_PART,3287
2075,밑가슴,AM_PART,3287
2076,발뒷꿈치,AM_PART,3287
2077,눈나,AM_PART,3287
2078,배꼽,AM_PART,3287
2079,팔짱,AM_PART,3287
2062,등드름,AM_PART,3287
2061,등,AM_PART,3287
2060,살찌,AM_PART,3287
2059,발목,AM_PART,3287
